Habitat	Phyla	BiG.SCAPE_class	protein_number
Saline_alkaline	Chloroflexota (183)	Others	20
Saline_alkaline	Cyanobacteria (159)	Others	16
Saline_alkaline	Proteobacteria (2373)	Terpene	627
Saline_alkaline	Bacteroidota (1310)	Terpene	566
Saline_alkaline	Planctomycetota (490)	Terpene	149
Saline_alkaline	Desulfobacterota (481)	Terpene	21
Saline_alkaline	Verrucomicrobiota (394)	Terpene	102
Saline_alkaline	Actinobacteriota (381)	Terpene	102
Saline_alkaline	Halobacteriota (354)	Terpene	261
Saline_alkaline	Myxococcota (260)	Terpene	53
Saline_alkaline	Chloroflexota (183)	Terpene	42
Saline_alkaline	Cyanobacteria (159)	Terpene	57
Saline_alkaline	Proteobacteria (2373)	Saccharides	2
Saline_alkaline	Bacteroidota (1310)	Saccharides	0
Saline_alkaline	Planctomycetota (490)	Saccharides	0
Saline_alkaline	Desulfobacterota (481)	Saccharides	0
Saline_alkaline	Verrucomicrobiota (394)	Saccharides	0
Saline_alkaline	Actinobacteriota (381)	Saccharides	1
Saline_alkaline	Halobacteriota (354)	Saccharides	0
Saline_alkaline	Myxococcota (260)	Saccharides	0
Saline_alkaline	Chloroflexota (183)	Saccharides	0
Saline_alkaline	Cyanobacteria (159)	Saccharides	1
Saline_alkaline	Proteobacteria (2373)	RiPPs	530
Saline_alkaline	Bacteroidota (1310)	RiPPs	257
Saline_alkaline	Planctomycetota (490)	RiPPs	68
Saline_alkaline	Desulfobacterota (481)	RiPPs	130
Saline_alkaline	Verrucomicrobiota (394)	RiPPs	51
Saline_alkaline	Actinobacteriota (381)	RiPPs	78
Saline_alkaline	Halobacteriota (354)	RiPPs	74
Saline_alkaline	Myxococcota (260)	RiPPs	64
Saline_alkaline	Chloroflexota (183)	RiPPs	65
Saline_alkaline	Cyanobacteria (159)	RiPPs	40
Saline_alkaline	Proteobacteria (2373)	PKSother	69
Saline_alkaline	Bacteroidota (1310)	PKSother	208
Saline_alkaline	Planctomycetota (490)	PKSother	41
Saline_alkaline	Desulfobacterota (481)	PKSother	81
Saline_alkaline	Verrucomicrobiota (394)	PKSother	97
Saline_alkaline	Actinobacteriota (381)	PKSother	63
Saline_alkaline	Halobacteriota (354)	PKSother	0
Saline_alkaline	Myxococcota (260)	PKSother	44
Saline_alkaline	Chloroflexota (183)	PKSother	21
Saline_alkaline	Cyanobacteria (159)	PKSother	7
Saline_alkaline	Proteobacteria (2373)	PKS-NRP_Hybrids	50
Saline_alkaline	Bacteroidota (1310)	PKS-NRP_Hybrids	12
Saline_alkaline	Planctomycetota (490)	PKS-NRP_Hybrids	26
