Habitat	MAGs	GTDB	Quality	Not_Asso_MGE_Aronumber	Asso_MGE_Aronumber
Hot	NMDC60091536	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ch128b;f__Ch128b;g__;s__	High-quality	4	0
Hot	NMDC60095791	d__Bacteria;p__Desulfobacterota;c__Thermodesulfobacteria;o__Thermodesulfobacteriales;f__Thermodesulfobacteriaceae;g__Thermodesulfobacterium;s__Thermodesulfobacterium geofontis_A	Medium-quality	1	0
Hot	NMDC60092289	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Tepidiformales;f__Tepidiformaceae;g__Tepidiforma;s__	Medium-quality	3	0
Hot	NMDC60096449	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__UBA1049;s__	Medium-quality	3	0
Hot	NMDC60095680	d__Bacteria;p__Marinisomatota;c__UBA2242;o__UBA2242;f__;g__;s__	High-quality	3	0
Hot	NMDC60094702	d__Bacteria;p__Desulfobacterota;c__Desulfobaccia;o__Desulfobaccales;f__0-14-0-80-60-11;g__;s__	Medium-quality	5	0
Hot	NMDC60085882	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__B20-G17;g__B20-G17;s__B20-G17 sp003650785	Medium-quality	0	0
Hot	NMDC60090952	d__Bacteria;p__WOR-3;c__UBA3073;o__UBA3073;f__UBA3073;g__;s__	High-quality	1	0
Hot	NMDC60095248	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__ETH-SRB1;g__;s__	Medium-quality	0	0
Hot	NMDC60096326	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Saccharolobus;s__	Medium-quality	0	0
Hot	NMDC60095139	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Methanofastidiosales;f__B48-G16;g__B48-G16;s__	Medium-quality	1	0
Hot	NMDC60096426	d__Bacteria;p__Desulfobacterota;c__JdFR-97;o__JdFR-97;f__JdFR-97;g__DSVT01;s__	High-quality	2	0
Hot	NMDC60095704	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__ARK-15;f__ARK-15;g__;s__	Medium-quality	1	0
Hot	NMDC60083817	d__Bacteria;p__JdFR-76;c__JdFR-76;o__JdFR-76;f__JdFR-76;g__JdFR-76;s__JdFR-76 sp002011685	High-quality	3	0
Hot	NMDC60065465	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio fluvialis	Medium-quality	9	0
Hot	NMDC60084675	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Allochromatium;s__Allochromatium vinosum	Medium-quality	5	0
Hot	NMDC60096796	d__Bacteria;p__4572-55;c__4572-55;o__J002;f__J002;g__J002;s__J002 sp003697105	Medium-quality	3	0
Hot	NMDC60094406	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__DRVD01;g__DRVD01;s__DRVD01 sp011371765	Medium-quality	0	0
Hot	NMDC60119454	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__;s__	Medium-quality	0	0
Hot	NMDC60096672	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Melioribacteraceae;g__WFQV01;s__	Medium-quality	1	0
Hot	NMDC60096400	d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SIRX01;s__	Medium-quality	4	0
Hot	NMDC60093715	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__DSUX01;s__	Medium-quality	3	0
Hot	NMDC60092538	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__GCA-002282575;s__	Medium-quality	3	0
Hot	NMDC60095609	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__;f__;g__;s__	Medium-quality	1	0
Hot	NMDC60065448	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__S143-33;g__;s__	Medium-quality	1	0
Hot	NMDC60092977	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__CADEFT01;s__	High-quality	2	0
Hot	NMDC60091742	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__SPDF01;s__	Medium-quality	2	0
Hot	NMDC60085870	d__Archaea;p__Thermoproteota;c__Nitrososphaeria_A;o__Caldarchaeales;f__NZ13-MGT;g__EX4484-121;s__EX4484-121 sp003660635	Medium-quality	0	0
Hot	NMDC60082143	d__Bacteria;p__WOR-3;c__Hydrothermia;o__WGAB01;f__WGAB01;g__S141-55;s__S141-55 sp015490555	High-quality	2	0
Hot	NMDC60091617	d__Bacteria;p__Bacteroidota;c__Kryptonia;o__Kryptoniales;f__Kryptoniaceae;g__Kryptonium;s__	High-quality	1	0
Hot	NMDC60097906	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__Roseiflexus;s__	Medium-quality	2	0
Hot	NMDC60119406	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__;g__;s__	Medium-quality	2	0
Hot	NMDC60094083	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__;g__;s__	High-quality	1	0
Hot	NMDC60119459	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Aciduliprofundales;f__Aciduliprofundaceae;g__Aciduliprofundum;s__Aciduliprofundum sp000327505	Medium-quality	0	0
Hot	NMDC60094703	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__DTKN01;f__DTKN01;g__DRUS01;s__DRUS01 sp011388535	Medium-quality	0	0
Hot	NMDC60095077	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__4484-7;s__4484-7 sp002085285	Medium-quality	3	0
Hot	NMDC60094624	d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Turneriellales;f__Turneriellaceae;g__Turneriella;s__	Medium-quality	2	0
Hot	NMDC60098212	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__B4-G1;f__B4-G1;g__;s__	High-quality	2	0
Hot	NMDC60095207	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__;g__;s__	Medium-quality	1	0
Hot	NMDC60096421	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Phnomibacter;s__	Medium-quality	3	0
Hot	NMDC60091728	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__Thermoanaerobaculum;s__Thermoanaerobaculum aquaticum	High-quality	0	0
Hot	NMDC60096834	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__;s__	Medium-quality	2	0
Hot	NMDC60082507	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__MONJU;s__	Medium-quality	1	0
Hot	NMDC60096829	d__Bacteria;p__Proteobacteria;c__Zetaproteobacteria;o__Mariprofundales;f__;g__;s__	Medium-quality	2	0
Hot	NMDC60096627	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__	Medium-quality	2	0
Hot	NMDC60106350	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Bilamarchaeaceae;g__CAIXOA01;s__	High-quality	0	0
Hot	NMDC60091598	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1400;f__UBA12108;g__DSVY01;s__	Medium-quality	1	0
Hot	NMDC60094210	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Thermoguttaceae;g__Thermogutta;s__Thermogutta terrifontis	Medium-quality	3	0
Hot	NMDC60096342	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA1149;f__UBA1149;g__;s__	Medium-quality	0	0
Hot	NMDC60096827	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__UBA525;g__UBA153;s__UBA153 sp003694385	Medium-quality	2	0
Hot	NMDC60092957	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pararheinheimera;s__Pararheinheimera sp003543135	Medium-quality	6	0
Hot	NMDC60095999	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__4572-78;f__NAK82;g__NAK82;s__	Medium-quality	0	0
Hot	NMDC60092041	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA2798;g__UBA2798;s__	High-quality	2	0
Hot	NMDC60094885	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__	Medium-quality	0	0
Hot	NMDC60090777	d__Bacteria;p__Desulfobacterota;c__JdFR-97;o__JdFR-97;f__JdFR-97;g__;s__	Medium-quality	3	0
Hot	NMDC60093684	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__DG-74-1;g__DG-74-1;s__	Medium-quality	1	0
Hot	NMDC60094509	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__;s__	Medium-quality	2	0
Hot	NMDC60119398	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__ARK-15;f__ARK-15;g__;s__	Medium-quality	1	0
Hot	NMDC60097554	d__Bacteria;p__CSP1-3;c__CSP1-3;o__CSP1-3;f__HRBIN32;g__HRBIN32;s__	Medium-quality	1	0
Hot	NMDC60092836	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Sulfurifustaceae;g__SM1-46;s__	Medium-quality	3	0
Hot	NMDC60098238	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chloroherpetonaceae;g__Thermochlorobacter;s__	Medium-quality	2	0
Hot	NMDC60096566	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__;s__	Medium-quality	0	0
Hot	NMDC60093704	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__JKG1;s__	Medium-quality	5	0
Hot	NMDC60096831	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__SIO1E4;s__	Medium-quality	2	0
Hot	NMDC60065402	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__JAADFI01;g__WANL01;s__WANL01 sp015521825	Medium-quality	0	0
Hot	NMDC60098196	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__DTHT01;s__	High-quality	1	0
Hot	NMDC60092444	d__Bacteria;p__Firmicutes_A;c__Thermoanaerobacteria;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae;g__Caldanaerobacter;s__	Medium-quality	3	0
Hot	NMDC60094554	d__Bacteria;p__UBA10199;c__UBA10199;o__DTNB01;f__DTNB01;g__DTNB01;s__DTNB01 sp011358755	Medium-quality	3	0
Hot	NMDC60093056	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Verruco-01;g__;s__	Medium-quality	1	0
Hot	NMDC60096191	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__SM23-35;g__UBA2194;s__	Medium-quality	2	0
Hot	NMDC60106220	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__HR35;g__;s__	Medium-quality	1	0
Hot	NMDC60091076	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__E44-bin15;f__;g__;s__	Medium-quality	3	0
Hot	NMDC60094189	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01;g__Zestosphaera;s__	High-quality	0	0
Hot	NMDC60096415	d__Bacteria;p__Margulisbacteria;c__Termititenacia;o__Termititenacales;f__;g__;s__	Medium-quality	1	0
Hot	NMDC60106577	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Methylomirabilales;f__2-02-FULL-66-22;g__2-02-FULL-66-22;s__	High-quality	0	0
Hot	NMDC60092555	d__Bacteria;p__Aquificota;c__Aquificae;o__Hydrogenothermales;f__Hydrogenothermaceae;g__Sulfurihydrogenibium;s__	Medium-quality	1	0
Hot	NMDC60093240	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Medium-quality	67	0
Hot	NMDC60082126	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Aeropyrum;s__Aeropyrum sp015521685	Medium-quality	0	0
Hot	NMDC60095771	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__Thermogladius;s__	Medium-quality	0	0
Hot	NMDC60094993	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__NS-4;g__SCTG01;s__	Medium-quality	1	0
Hot	NMDC60082229	d__Archaea;p__EX4484-52;c__EX4484-52;o__EX4484-52;f__WAPT01;g__;s__	Medium-quality	1	0
Hot	NMDC60086414	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Aciduliprofundales;f__Aciduliprofundaceae;g__S014-41;s__	Medium-quality	0	0
Hot	NMDC60094203	d__Bacteria;p__Goldbacteria;c__PGYV01;o__PGYV01;f__DSYL01;g__;s__	Medium-quality	1	0
Hot	NMDC60065409	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__JAADDB01;f__JAADDB01;g__S141-23;s__S141-23 sp015490995	High-quality	3	0
Hot	NMDC60094880	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__HR35;g__HRBIN35;s__	Medium-quality	1	0
Hot	NMDC60119377	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__DRMV01;g__DRMV01;s__	Medium-quality	0	0
Hot	NMDC60095613	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__;s__	Medium-quality	0	0
Hot	NMDC60092937	d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptonemataceae;g__Leptonema;s__Leptonema illini	Medium-quality	5	0
Hot	NMDC60096244	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__NAK19;s__NAK19 sp003327455	Medium-quality	1	0
Hot	NMDC60094271	d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__DTGL01;g__DTGL01;s__DTGL01 sp011334955	Medium-quality	0	0
Hot	NMDC60082386	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2100;g__S143-145;s__	Medium-quality	2	0
Hot	NMDC60093925	d__Bacteria;p__Actinobacteriota;c__Geothermincolia;o__Geothermincolales;f__Geothermincolaceae;g__Geothermincola_A;s__	Medium-quality	3	0
Hot	NMDC60098047	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Isosphaerales;f__Isosphaeraceae;g__;s__	Medium-quality	2	0
Hot	NMDC60097577	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__Thermomicrobiaceae;g__Thermomicrobium;s__Thermomicrobium sp002898255	Medium-quality	1	0
Hot	NMDC60094799	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Meiothermus;s__	Medium-quality	1	0
Hot	NMDC60090979	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__S010-17;s__	Medium-quality	2	0
Hot	NMDC60091027	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__	Medium-quality	3	0
Hot	NMDC60095202	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__;s__	Medium-quality	1	0
Hot	NMDC60097667	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Meiothermus;s__	Medium-quality	1	0
Hot	NMDC60094458	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__DTJF01;s__DTJF01 sp011370595	High-quality	2	0
Hot	NMDC60082360	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__SZUA-100;s__	Medium-quality	3	0
Hot	NMDC60096582	d__Bacteria;p__WOR-3;c__Hydrothermia;o__UBA1063;f__UBA1063;g__;s__	Medium-quality	1	0
Hot	NMDC60094452	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__SCSR01;g__SpSt-734;s__	Medium-quality	0	0
Hot	NMDC60093681	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales_A;f__DTKZ01;g__DTKZ01;s__	Medium-quality	3	0
Hot	NMDC60082589	d__Bacteria;p__Thermosulfidibacterota;c__Thermosulfidibacteria;o__Thermosulfidibacterales;f__B14-G1;g__WFSI01;s__WFSI01 sp015486015	Medium-quality	2	0
Hot	NMDC60106202	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__UBA4408;g__CAIMMJ01;s__	Medium-quality	2	0
Hot	NMDC60106189	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__;s__	Medium-quality	0	0
Hot	NMDC60095037	d__Archaea;p__Thermoproteota;c__Nitrososphaeria_A;o__Caldarchaeales;f__NZ13-MGT;g__EX4484-121;s__	Medium-quality	0	0
Hot	NMDC60094149	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acidibrevibacterium;s__Acidibrevibacterium sp011332665	Medium-quality	3	0
Hot	NMDC60095104	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__B24-G6;s__B24-G6 sp003643835	Medium-quality	5	0
Hot	NMDC60093713	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__UBA10806;f__4484-95;g__;s__	Medium-quality	4	0
Hot	NMDC60095988	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__Thermomicrobiaceae;g__HRBIN26;s__	Medium-quality	1	0
Hot	NMDC60094899	d__Bacteria;p__Desulfobacterota;c__BSN033;o__B13-G15;f__B13-G15;g__DTJU01;s__DTJU01 sp011361925	Medium-quality	0	0
Hot	NMDC60096786	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__J032;s__J032 sp003696955	High-quality	0	0
Hot	NMDC60106661	d__Bacteria;p__Margulisbacteria;c__;o__;f__;g__;s__	High-quality	1	0
Hot	NMDC60091623	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosocaldaceae;g__Nitrosocaldus;s__	High-quality	0	0
Hot	NMDC60119395	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__	Medium-quality	0	0
Hot	NMDC60096181	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__JAEUIZ01;s__	Medium-quality	2	0
Hot	NMDC60085846	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__EX4484-135;f__EX4484-135;g__;s__	Medium-quality	0	0
Hot	NMDC60083746	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales_A;f__Methermicoccaceae;g__JdFR-19;s__JdFR-19 sp002010075	High-quality	2	0
Hot	NMDC60092853	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__JAAUTM01;s__	High-quality	2	0
Hot	NMDC60089233	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__	Medium-quality	2	0
Hot	NMDC60092704	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas salmonicida	Medium-quality	15	0
Hot	NMDC60095034	d__Archaea;p__Halobacteriota;c__Syntropharchaeia;o__ANME-1;f__ANME-1;g__QEXZ01;s__	Medium-quality	1	0
Hot	NMDC60106261	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__A4b;g__;s__	Medium-quality	1	0
Hot	NMDC60094183	d__Bacteria;p__Firestonebacteria;c__D2-FULL-39-29;o__;f__;g__;s__	Medium-quality	3	0
Hot	NMDC60090954	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aureibaculum;s__Aureibaculum sp003511845	Medium-quality	2	0
Hot	NMDC60092982	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__	Medium-quality	2	0
Hot	NMDC60089226	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__	Medium-quality	2	0
Hot	NMDC60096413	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__;g__;s__	Medium-quality	1	0
Hot	NMDC60106173	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Wolinella;s__Wolinella succinogenes	Medium-quality	3	0
Hot	NMDC60096223	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	Medium-quality	9	0
Hot	NMDC60092522	d__Bacteria;p__Desulfobacterota;c__Thermodesulfobacteria;o__Thermodesulfobacteriales;f__Thermodesulfobacteriaceae;g__Caldimicrobium;s__Caldimicrobium sp009903935	Medium-quality	2	0
Hot	NMDC60119314	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Nautiliales;f__Nautiliaceae;g__Caminibacter;s__	Medium-quality	2	0
Hot	NMDC60097979	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__JADJWL01;s__	Medium-quality	2	0
Hot	NMDC60083342	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WAKM01;s__WAKM01 sp015523335	High-quality	0	0
Hot	NMDC60097928	d__Bacteria;p__Spirochaetota;c__UBA6919;o__GWB1-36-13;f__GWB1-36-13;g__;s__	Medium-quality	2	0
Hot	NMDC60065414	d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Thermotomaculales;f__Thermotomaculaceae;g__Thermotomaculum;s__Thermotomaculum sp015487755	Medium-quality	4	0
Hot	NMDC60082273	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__DRKI01;s__DRKI01 sp015484845	Medium-quality	1	0
Hot	NMDC60095591	d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__Aegiribacteria;s__	Medium-quality	2	0
Hot	NMDC60096650	d__Bacteria;p__Planctomycetota;c__J132;o__J132;f__J132;g__;s__	Medium-quality	2	0
Hot	NMDC60093780	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__;s__	Medium-quality	1	0
Hot	NMDC60091620	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__DSLN01;f__DSLN01;g__DSLN01;s__	High-quality	2	0
Hot	NMDC60082371	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter;s__	Medium-quality	0	0
Hot	NMDC60082293	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-001735895;f__GCA-001735895;g__S144-22;s__S144-22 sp015494335	Medium-quality	4	0
Hot	NMDC60085925	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__B26-1;g__B63;s__B63 sp003601725	Medium-quality	2	0
Hot	NMDC60095162	d__Archaea;p__Halobacteriota;c__Syntropharchaeia;o__Syntropharchaeales;f__Syntropharchaeaceae;g__Syntropharchaeum_A;s__	Medium-quality	1	0
Hot	NMDC60119445	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignicoccaceae;g__Ignicoccus;s__	Medium-quality	0	0
Hot	NMDC60095986	d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__UBA2268;g__Naka2016;s__	Medium-quality	1	0
Hot	NMDC60096446	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Thermonemataceae;g__Thermonema;s__Thermonema rossianum	Medium-quality	2	0
Hot	NMDC60090782	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__UBA12294;s__UBA12294 sp013388685	Medium-quality	1	0
Hot	NMDC60083331	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__J096;g__WAKO01;s__	Medium-quality	0	0
Hot	NMDC60092696	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Termitinemataceae;g__;s__	Medium-quality	2	0
Hot	NMDC60106657	d__Bacteria;p__Desulfobacterota;c__Desulfobaccia;o__Desulfobaccales;f__Desulfobaccaceae;g__;s__	Medium-quality	6	0
Hot	NMDC60096045	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__	Medium-quality	0	0
Hot	NMDC60091464	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__;s__	Medium-quality	0	0
Hot	NMDC60065225	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__UBA4473;f__UBA4473;g__;s__	Medium-quality	0	0
Hot	NMDC60092323	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__CG2-30-64-16;f__CG2-30-64-16;g__MWBF01;s__	Medium-quality	3	0
Hot	NMDC60106410	d__Bacteria;p__CG2-30-70-394;c__CG2-30-70-394;o__CG2-30-70-394;f__CG2-30-70-394;g__;s__	Medium-quality	2	0
Hot	NMDC60082882	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077;s__UBA3077 sp015487255	Medium-quality	0	0
Hot	NMDC60094563	d__Bacteria;p__Armatimonadota;c__DTGP01;o__DTGP01;f__DTGP01;g__DTJC01;s__DTJC01 sp011333895	Medium-quality	1	0
Hot	NMDC60098202	d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__UBA2268;g__;s__	High-quality	2	0
Hot	NMDC60091678	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pararheinheimera;s__	Medium-quality	5	0
Hot	NMDC60096810	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__A4b;g__J038;s__J038 sp003696565	Medium-quality	2	0
