Run	Isolate_Source1	Isolate_Source2	Isolate_Source3	Habitat
SRR10095340	Hot spring	Canada: Liard River, BC	Canada: Liard River, BC	Hot
SRR10294826	Hydrothermal related	Atlantic Ocean:Lost City Hydrothermal Field	Atlantic Ocean: Lost City Hydrothermal Field	Hot
SRR10309773	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: Diffuse Flow, Brothers Volcano	Pressure
SRR10310285	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: Upper Cone, Brothers Volcano	Cross_habitat
SRR10312489	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: NW Caldera B, Brothers Volcano	Cross_habitat
SRR10312490	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: NW Caldera B, Brothers Volcano	Cross_habitat
SRR10312491	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: Upper Caldera Wall, Brothers Volcano	Cross_habitat
SRR10312492	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: NW Caldera A, Brothers Volcano	Pressure
SRR10312493	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: Lower Cone, Brothers Volcano	Cross_habitat
SRR10312494	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: Diffuse Flow, Brothers Volcano	Pressure
SRR10312495	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: Lower Cone, Brothers Volcano	Cross_habitat
SRR10312496	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: NW Caldera A, Brothers Volcano	Pressure
SRR10312497	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: Upper Cone, Brothers Volcano	Cross_habitat
SRR10312498	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: NW Caldera B, Brothers Volcano	Cross_habitat
SRR10312499	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: NW Caldera A, Brothers Volcano	Pressure
SRR10312500	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: NW Caldera A, Brothers Volcano	Pressure
SRR10312501	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: NW Caldera A, Brothers Volcano	Pressure
SRR10312502	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: NW Caldera A, Brothers Volcano	Pressure
SRR10312503	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: Upper Caldera Wall, Brothers Volcano	Cross_habitat
SRR10312504	Hydrothermal related	Pacific Ocean: Brothers Volcano	Pacific Ocean: Upper Cone, Brothers Volcano	Cross_habitat
SRR10519663	Hot spring	USA: California	USA: Cone Pool, California	Hot
SRR10846467	Saline lake	USA: Great Salt Lake	USA: Great Salt Lake	Saline-alkaline
SRR11060885	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Cross_habitat
SRR11582141	Hot spring	Costa Rica	Costa Rica: Borinquen hot springs	Hot
SRR11582143	Hot spring	Costa Rica	Costa Rica: Rio Cayuco hot springs	Hot
SRR11582144	Hot spring	Costa Rica	Costa Rica: Rio Cayuco hot springs	Hot
SRR11582145	Hot spring	Costa Rica	Costa Rica: Blue River hot springs	Hot
SRR11582146	Hot spring	Costa Rica	Costa Rica: Blue River hot springs	Hot
SRR11582147	Hot spring	Costa Rica	Costa Rica: Blue River hot springs	Hot
SRR11582148	Hot spring	Costa Rica	Costa Rica: Blue River hot springs	Hot
SRR11582149	Hot spring	Costa Rica	Costa Rica: El Tucano Hot Spring	Hot
SRR11582150	Hot spring	Costa Rica	Costa Rica: El Tucano Hot Spring	Hot
SRR11582153	Hot spring	Costa Rica	Costa Rica: Santa Lucia Hot Spring	Hot
SRR11582154	Hot spring	Costa Rica	Costa Rica: Santa Lucia Hot Spring	Hot
SRR11582155	Hot spring	Costa Rica	Costa Rica: Borinquen hot springs	Hot
SRR11582156	Hot spring	Costa Rica	Costa Rica: Recreo Verde deep well, flank of Poas Volcano	Hot
SRR11582161	Hot spring	Costa Rica	Costa Rica: Quepos Hot Spring (Spring #1)	Hot
SRR11582166	Hot spring	Costa Rica	Costa Rica: Borinquen hot springs	Hot
SRR11582167	Hot spring	Costa Rica	Costa Rica: 50 m open well (Mouse Trap)	Hot
SRR11582170	Hot spring	Costa Rica	Costa Rica: Finca ANDE hot spring	Hot
SRR12088346	Saline lake	Spain: Laguna del Tobar	Spain: Laguna del Tobar	Saline-alkaline
SRR12088347	Saline lake	Spain: Laguna del Tobar	Spain: Laguna del Tobar	Saline-alkaline
SRR12088348	Saline lake	Spain: Laguna del Tobar	Spain: Laguna del Tobar	Saline-alkaline
SRR12124855	Hot spring	Italy: Agnano, Naples	Italy: Agnano, Naples	Cross_habitat
SRR12124856	Hot spring	Italy: Agnano, Naples	Italy: Agnano, Naples	Hot
SRR12124857	Hot spring	Italy: Agnano, Naples	Italy: Agnano, Naples	Hot
SRR12277191	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cross_habitat
SRR12277192	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cross_habitat
SRR12277193	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cross_habitat
SRR12277194	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cross_habitat
SRR12277195	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cold
SRR12277196	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cold
SRR12277197	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cold
SRR12277198	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cross_habitat
SRR12277199	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cross_habitat
SRR12277200	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cross_habitat
SRR12277201	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cross_habitat
SRR12277202	Permafrost	Switzerland: Muot-da-Barba-Peider, Alps	Switzerland: Muot-da-Barba-Peider, Alps	Cross_habitat
SRR12366058	Antarctic saline lake	Antarcitica: Unnamed Lake-13	Antarcitica: Unnamed Lake-13	Saline-alkaline
SRR12366580	Antarctic saline lake	Antarctica: Deep Lake	Antarctica: Deep Lake	Saline-alkaline
SRR12366599	Antarctic saline lake	Antarctica: Deep Lake	Antarctica: Deep Lake	Saline-alkaline
SRR12604679	Hydrothermal related	Pacific Ocean: East Pacific Rise	Pacific Ocean: East Pacific Rise	Pressure
SRR12852618	Hydrothermal related	USA: Wyoming	USA: Yellowstone Lake, Wyoming	Cross_habitat
SRR12852619	Hydrothermal related	USA: Wyoming	USA: Yellowstone Lake, Wyoming	Cross_habitat
SRR12852620	Hydrothermal related	USA: Wyoming	USA: Yellowstone Lake, Wyoming	Cross_habitat
SRR12852621	Hydrothermal related	USA: Wyoming	USA: Yellowstone Lake, Wyoming	Cross_habitat
SRR12852622	Hydrothermal related	USA: Wyoming	USA: Yellowstone Lake, Wyoming	Cross_habitat
SRR12949764	Hot spring	USA: Wyoming	USA: NA, Wyoming	Hot
SRR12969846	Hot spring	India: Himachal Pradesh	India: Khirganga hotspring, Himachal Pradesh, Northern Hiamayas	Hot
SRR12976788	Hot spring	India: Himachal Pradesh	India: Khirganga hotspring, Himachal Pradesh, Northern Hiamayas	Hot
SRR12977061	Hot spring	India: Himachal Pradesh	India: Khirganga hotspring, Himachal Pradesh, Northern Hiamayas	Hot
SRR12989705	Hot spring	India: Himachal Pradesh	India: Khirganga hotspring, Himachal Pradesh, Northern Hiamayas	Hot
SRR12997672	Hot spring	India: Himachal Pradesh	India: Khirganga hotspring, Himachal Pradesh, Northern Hiamayas	Hot
SRR12997673	Hot spring	India: Himachal Pradesh	India: Khirganga hotspring, Himachal Pradesh, Northern Hiamayas	Hot
SRR13106729	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13106730	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13106731	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13106732	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13106733	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13106734	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13106735	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13106736	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13106737	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13106739	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13106740	Permafrost	Russia:Cape Chukochii, East Siberian Sea	Russia:Cape Chukochii, East Siberian Sea	Cold
SRR13162838	Acid mine drainage	China: Guizhou	China: Banpo Antimony Mine, Guizhou Province	Acid
SRR13164998	Acid mine drainage	China: Jiangxi	China: Dexing Copper Mine, Jiangxi Province	Acid
SRR13170410	Acid mine drainage	China: Guangdong	China: Dabaoshan Pyrite-Copper Mine, Guangdong Province	Acid
SRR13170411	Acid mine drainage	China: Guangdong	China: Dabaoshan Pyrite-Copper Mine, Guangdong Province	Acid
SRR13170412	Acid mine drainage	China: Guangdong	China: Dabaoshan Pyrite-Copper Mine, Guangdong Province	Acid
SRR13170413	Acid mine drainage	China: Guangdong	China: Dabaoshan Pyrite-Copper Mine, Guangdong Province	Acid
SRR13170414	Acid mine drainage	China: Jiangxi	China: Dexing Copper Mine, Jiangxi Province	Acid
SRR13170451	Acid mine drainage	China: Guizhou	China: Banpo Antimony Mine, Guizhou Province	Acid
SRR13178627	Acid mine drainage	China: Guizhou	China: Banpo Antimony Mine, Guizhou Province	Acid
SRR13178628	Acid mine drainage	China: Guizhou	China: Banpo Antimony Mine, Guizhou Province	Acid
SRR13178629	Acid mine drainage	China: Guangdong	China: Dabaoshan Pyrite-Copper Mine, Guangdong Province	Acid
SRR13178630	Acid mine drainage	China: Guizhou	China: Banpo Antimony Mine, Guizhou Province	Acid
SRR13178631	Acid mine drainage	China: Guangdong	China: Dabaoshan Pyrite-Copper Mine, Guangdong Province	Acid
SRR13178663	Acid mine drainage	China: Guangxi	China: Dashan Tin-Zinc Mine, Guangxi Province	Acid
SRR13179634	Acid mine drainage	China: Guangxi	China: Longshenao Polymetallic Mine, Guangxi Province	Acid
SRR13179680	Acid mine drainage	China: Guizhou	China: Jiuan Polymetallic Mine, Guizhou Province	Acid
SRR13188906	Acid mine drainage	China: Guangxi	China: Longshenao Polymetallic Mine, Guangxi Province	Acid
SRR13188907	Acid mine drainage	China: Guangxi	China: Longshenao Polymetallic Mine, Guangxi Province	Acid
SRR13188939	Acid mine drainage	China: Guangxi	China: Longshenao Polymetallic Mine, Guangxi Province	Acid
SRR13188940	Acid mine drainage	China: Guangxi	China: Longshenao Polymetallic Mine, Guangxi Province	Acid
SRR13188941	Acid mine drainage	China: Guangdong	China: Fankou Lead-Zinc Mine, Guangdong Province	Acid
SRR13189623	Acid mine drainage	China: Hunan	China: Shuikoushan Lead-Zinc Mine, Hunan Province	Acid
SRR13189639	Acid mine drainage	China: Guangdong	China: Fankou Lead-Zinc Mine, Guangdong Province	Acid
SRR13190158	Acid mine drainage	China: Anhui	China: Maanshan Magnetite Mine, Anhui Province	Acid
SRR13197234	Acid mine drainage	China: Guizhou	China: Zhijin Polymetallic Mine, Guizhou Province	Acid
SRR13197295	Acid mine drainage	China: Guizhou	China: Zhijin Polymetallic Mine, Guizhou Province	Acid
SRR13197296	Acid mine drainage	China: Guizhou	China: Zhijin Polymetallic Mine, Guizhou Province	Acid
SRR13197350	Acid mine drainage	China: Guangxi	China: Dashan Tin-Zinc Mine, Guangxi Province	Acid
SRR13197465	Acid mine drainage	China: Jiangxi	China: Dexing Copper Mine, Jiangxi Province	Acid
SRR13199767	Hot spring	USA: Wyoming	USA: NA, Wyoming	Hot
SRR13200009	Hot spring	USA: Wyoming	USA: NA, Wyoming	Hot
SRR13200013	Hot spring	USA: Wyoming	USA: NA, Wyoming	Hot
SRR13200029	Hot spring	USA: Wyoming	USA: NA, Wyoming	Hot
SRR13200201	Hot spring	USA: Wyoming	USA: NA, Wyoming	Hot
SRR13200202	Hot spring	USA: Wyoming	USA: NA, Wyoming	Hot
SRR13201254	Acid mine drainage	China: Guangdong	China: Fankou Lead-Zinc Mine, Guangdong Province	Acid
SRR13201267	Acid mine drainage	China: Hunan	China: Huangshaping Lead-Zinc Mine, Hunan Province	Acid
SRR13201268	Acid mine drainage	China: Guizhou	China: Jiuan Polymetallic Mine, Guizhou Province	Acid
SRR13201269	Acid mine drainage	China: Guizhou	China: Jiuan Polymetallic Mine, Guizhou Province	Acid
SRR13201271	Acid mine drainage	China: Guizhou	China: Jiuan Polymetallic Mine, Guizhou Province	Acid
SRR13201272	Acid mine drainage	China: Guizhou	China: Zhijin Polymetallic Mine, Guizhou Province	Acid
SRR13201275	Acid mine drainage	China: Guizhou	China: Zhijin Polymetallic Mine, Guizhou Province	Acid
SRR13201295	Acid mine drainage	China: Guizhou	China: Zhijin Polymetallic Mine, Guizhou Province	Acid
SRR13203214	Acid mine drainage	China: Jiangxi	China: Yinshan Lead-Zinc Mine, Jiangxi Province	Acid
SRR13203219	Acid mine drainage	China: Jiangxi	China: Yinshan Lead-Zinc Mine, Jiangxi Province	Acid
SRR13203220	Acid mine drainage	China: Jiangxi	China: Yinshan Lead-Zinc Mine, Jiangxi Province	Acid
SRR13203221	Acid mine drainage	China: Jiangxi	China: Yinshan Lead-Zinc Mine, Jiangxi Province	Acid
SRR13203224	Acid mine drainage	China: Guangdong	China: Fankou Lead-Zinc Mine, Guangdong Province	Acid
SRR13203225	Acid mine drainage	China: Hunan	China: Huangshaping Lead-Zinc Mine, Hunan Province	Acid
SRR13203226	Acid mine drainage	China: Jiangxi	China: Yinshan Lead-Zinc Mine, Jiangxi Province	Acid
SRR13203278	Acid mine drainage	China: Guizhou	China: Jiuan Polymetallic Mine, Guizhou Province	Acid
SRR13205813	Acid mine drainage	China: Jiangxi	China: Yongping Copper Mine, Jiangxi Province	Acid
SRR13205814	Acid mine drainage	China: Jiangxi	China: Yongping Copper Mine, Jiangxi Province	Acid
SRR13205815	Acid mine drainage	China: Jiangxi	China: Yongping Copper Mine, Jiangxi Province	Acid
SRR13205816	Acid mine drainage	China: Guizhou	China: Longli Polymetallic Mine, Guizhou Province	Acid
SRR13205817	Acid mine drainage	China: Jiangxi	China: Yongping Copper Mine, Jiangxi Province	Acid
SRR13206276	Acid mine drainage	China: Jiangxi	China: Yongping Copper Mine, Jiangxi Province	Acid
SRR13206618	Acid mine drainage	China: Guangdong	China: Yunfu Pyrite Mine, Guangdong Province	Acid
SRR13206894	Acid mine drainage	China: Guangdong	China: Yunfu Pyrite Mine, Guangdong Province	Acid
SRR13213325	Acid mine drainage	China: Guizhou	China: Longli Polymetallic Mine, Guizhou Province	Acid
SRR13213326	Acid mine drainage	China: Guizhou	China: Longli Polymetallic Mine, Guizhou Province	Acid
SRR13213327	Acid mine drainage	China: Guizhou	China: Longli Polymetallic Mine, Guizhou Province	Acid
SRR13213328	Acid mine drainage	China: Guangdong	China: Yunfu Pyrite Mine, Guangdong Province	Acid
SRR13213329	Acid mine drainage	China: Guangdong	China: Yunfu Pyrite Mine, Guangdong Province	Acid
SRR13213330	Acid mine drainage	China: Guangdong	China: Yunfu Pyrite Mine, Guangdong Province	Acid
SRR13213331	Acid mine drainage	China: Guizhou	China: Jiuan Polymetallic Mine, Guizhou Province	Acid
SRR13221982	Acid mine drainage	China: Guizhou	China: Longli Polymetallic Mine, Guizhou Province	Acid
SRR13221984	Acid mine drainage	China: Anhui	China: Maanshan Magnetite Mine, Anhui Province	Acid
SRR13221993	Acid mine drainage	China: Anhui	China: Maanshan Magnetite Mine, Anhui Province	Acid
SRR13221994	Acid mine drainage	China: Anhui	China: Maanshan Magnetite Mine, Anhui Province	Acid
SRR13221996	Acid mine drainage	China: Anhui	China: Maanshan Magnetite Mine, Anhui Province	Acid
SRR13221998	Acid mine drainage	China: Hunan	China: Shuikoushan Lead-Zinc Mine, Hunan Province	Acid
SRR13222494	Acid mine drainage	China: Anhui	China: Tongling Copper Mine, Anhui Province	Acid
SRR13222495	Acid mine drainage	China: Anhui	China: Tongling Copper Mine, Anhui Province	Acid
SRR13223810	Acid mine drainage	China: Anhui	China: Tongling Copper Mine, Anhui Province	Acid
SRR13235777	Acid mine drainage	China: Anhui	China: Tongling Copper Mine, Anhui Province	Acid
SRR13235778	Acid mine drainage	China: Anhui	China: Tongling Copper Mine, Anhui Province	Acid
SRR13235779	Acid mine drainage	China: Anhui	China: Tongling Copper Mine, Anhui Province	Acid
SRR13236502	Acid mine drainage	China: Anhui	China: Tongling Copper Mine, Anhui Province	Acid
SRR13236670	Acid mine drainage	China: Anhui	China: Wuhu Polymetallic Mine, Anhui Province	Acid
SRR13236724	Acid mine drainage	China: Anhui	China: Tongling Copper Mine, Anhui Province	Acid
SRR13236739	Acid mine drainage	China: Anhui	China: Wuhu Polymetallic Mine, Anhui Province	Acid
SRR13237537	Acid mine drainage	China: Anhui	China: Wuhu Polymetallic Mine, Anhui Province	Acid
SRR13237539	Acid mine drainage	China: Anhui	China: Tongling Copper Mine, Anhui Province	Acid
SRR13240876	Acid mine drainage	China: Guangxi	China: Wuyi Polymetallic Mine, Guangxi Province	Acid
SRR13241953	Acid mine drainage	China: Guangxi	China: Wuyi Polymetallic Mine, Guangxi Province	Acid
SRR13245424	Acid mine drainage	China: Anhui	China: Tongling Copper Mine, Anhui Province	Acid
SRR13299515	Acid mine drainage	China: Guangxi	China: Wuyi Polymetallic Mine, Guangxi Province	Acid
SRR13300764	Acid mine drainage	China: Guangxi	China: Wuyi Polymetallic Mine, Guangxi Province	Acid
SRR13304626	Acid mine drainage	China: Anhui	China: Wuhu Polymetallic Mine, Anhui Province	Acid
SRR13304735	Acid mine drainage	China: Anhui	China: Wuhu Polymetallic Mine, Anhui Province	Acid
SRR13572580	Saline lake	Tanzania: Arusha National Park	Tanzania: Arusha National Park	Saline-alkaline
SRR13615824	Permafrost	Russia: Siberia	Russia: Kolyma-Indigirka Lowland, Siberia	Cold
SRR13615825	Permafrost	Russia: Siberia	Russia: Kolyma-Indigirka Lowland, Siberia	Cold
SRR13615826	Permafrost	Russia: Siberia	Russia: Kolyma-Indigirka Lowland, Siberia	Cold
SRR13696273	Saline lake	Tanzania: Arusha National Park	Tanzania: Arusha National Park	Saline-alkaline
SRR13696706	Antarctic saline lake	Antarctica: Club Lake	Antarctica: Club Lake	Saline-alkaline
SRR13720463	Hot spring	USA: Wyoming	USA: NA, Wyoming	Hot
SRR13920260	Antarctic saline lake	Antarctica: Unnamed Portals Lake	Antarctica: Unnamed Portals Lake	Saline-alkaline
SRR14023866	Saline lake	USA: Great Salt Lake	USA: Great Salt Lake	Saline-alkaline
SRR14023877	Saline lake	USA: Great Salt Lake	USA: Great Salt Lake	Saline-alkaline
SRR14023937	Saline lake	USA: Great Salt Lake	USA: Great Salt Lake	Saline-alkaline
SRR14300307	Saline lake	Russia: Republic of Khakassia, Shirinsky District, Lake Shunet	Russia: Republic of Khakassia, Shirinsky District, Lake Shunet	Saline-alkaline
SRR14300308	Saline lake	Russia: Republic of Khakassia, Shirinsky District, Lake Shunet	Russia: Republic of Khakassia, Shirinsky District, Lake Shunet	Saline-alkaline
SRR14492174	Saline lake	China: Xinjiang	China: Qijiaojing Lake, Xinjiang	Saline-alkaline
SRR14492175	Saline lake	China: Xinjiang	China: Qijiaojing Lake, Xinjiang	Saline-alkaline
SRR14492176	Saline lake	China: Xinjiang	China: Qijiaojing Lake, Xinjiang	Saline-alkaline
SRR14492178	Saline lake	China: Xinjiang	China: Qijiaojing Lake, Xinjiang	Saline-alkaline
SRR14492179	Saline lake	China: Xinjiang	China: Barkol Lake, Xinjiang	Saline-alkaline
SRR14492180	Saline lake	China: Xinjiang	China: Barkol Lake, Xinjiang	Saline-alkaline
SRR14492181	Saline lake	China: Xinjiang	China: Barkol Lake, Xinjiang	Saline-alkaline
SRR14492182	Saline lake	China: Xinjiang	China: Barkol Lake, Xinjiang	Saline-alkaline
SRR14492183	Saline lake	China: Xinjiang	China: Barkol Lake, Xinjiang	Saline-alkaline
SRR14492184	Saline lake	China: Xinjiang	China: Barkol Lake, Xinjiang	Saline-alkaline
SRR14492185	Saline lake	China: Xinjiang	China: Barkol Lake, Xinjiang	Saline-alkaline
SRR14492186	Saline lake	China: Xinjiang	China: Barkol Lake, Xinjiang	Saline-alkaline
SRR14492187	Saline lake	China: Xinjiang	China: Barkol Lake, Xinjiang	Saline-alkaline
SRR14492189	Saline lake	China: Xinjiang	China: Barkol Lake, Xinjiang	Saline-alkaline
SRR14492190	Saline lake	China: Xinjiang	China: Barkol Lake, Xinjiang	Saline-alkaline
SRR14492191	Saline lake	China: Xinjiang	China: Barkol Lake, Xinjiang	Saline-alkaline
SRR14492192	Saline lake	China: Xinjiang	China: Barkol Lake, Xinjiang	Saline-alkaline
SRR14492193	Saline lake	China: Xinjiang	China: Barkol Lake, Xinjiang	Saline-alkaline
SRR3223410	Hydrothermal related	Gulf of California	NA, Gulf of California	Pressure
SRR3341855	Saline lake	Argentina: Socompa Lake, Salta	Argentina: Socompa Lake, Salta	Saline-alkaline
SRR3723048	Hydrothermal related	Pacific Ocean: mid-ocean ridge	Pacific Ocean: Juan de Fuca Ridge, mid-ocean ridge	Cross_habitat
SRR3732688	Hydrothermal related	Pacific Ocean: mid-ocean ridge	Pacific Ocean: Juan de Fuca Ridge, mid-ocean ridge	Cross_habitat
SRR3984960	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3984961	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3984962	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3984963	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985186	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985188	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985190	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985368	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985369	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985370	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985376	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985382	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985383	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985384	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985385	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985388	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985389	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985390	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985391	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985394	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985395	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985396	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985397	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985418	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985419	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985420	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985421	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985424	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985523	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985524	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985525	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985526	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985527	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985624	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3985625	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3989117	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR3989121	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
