Run	Isolate_Source1	Isolate_Source2	Isolate_Source3	Habitat
SRR7905022	Hot spring	Japan: Tokyo Prefecture, Shikinejima Island, Jinata Onsen	Japan: Tokyo Prefecture, Shikinejima Island, Jinata Onsen	Hot
SRR7905023	Hot spring	Japan: Tokyo Prefecture, Shikinejima Island, Jinata Onsen	Japan: Tokyo Prefecture, Shikinejima Island, Jinata Onsen	Hot
SRR7905024	Hot spring	Japan: Tokyo Prefecture, Shikinejima Island, Jinata Onsen	Japan: Tokyo Prefecture, Shikinejima Island, Jinata Onsen	Hot
SRR7943696	Saline lake	Russia: Kulunda, Altai Krai	Russia: Salt Lake 48, Kulunda, Altai Krai	Saline-alkaline
SRR7943839	Saline lake	Russia: Kulunda, Altai Krai	Russia: Salt Lake 48, Kulunda, Altai Krai	Saline-alkaline
SRR7968063	Hydrothermal related	Pacific Ocean: East Pacific Rise	Pacific Ocean: East Pacific Rise	Pressure
SRR7968064	Hydrothermal related	Pacific Ocean: East Pacific Rise	Pacific Ocean: East Pacific Rise	Pressure
SRR7968103	Hydrothermal related	Pacific Ocean: East Pacific Rise	Pacific Ocean: East Pacific Rise	Pressure
SRR7968104	Hydrothermal related	Pacific Ocean: East Pacific Rise	Pacific Ocean: East Pacific Rise	Pressure
SRR7968105	Hydrothermal related	Pacific Ocean: Lau Basin	Pacific Ocean: Lau Basin	Pressure
SRR7968106	Hydrothermal related	Gulf of California	Ultra Mound gradient site, Gulf of California	Pressure
SRR7968107	Hydrothermal related	Gulf of California	Ultra Mound gradient site, Gulf of California	Pressure
SRR7968108	Hydrothermal related	Atlantic Ocean: Mid Atlantic Ridge	Atlantic Ocean: Mid Atlantic Ridge	Pressure
SRR7968109	Hydrothermal related	Gulf of California	NA, Gulf of California	Cross_habitat
SRR7968110	Hydrothermal related	Atlantic Ocean: Mid Atlantic Ridge	Atlantic Ocean: Mid Atlantic Ridge	Pressure
SRR7968113	Hydrothermal related	Atlantic Ocean: Mid Atlantic Ridge	Atlantic Ocean: Mid Atlantic Ridge	Pressure
SRR7968125	Hydrothermal related	Gulf of California	NA, Gulf of California	Pressure
SRR8090375	Permafrost	USA: Barrow Environmental Observatory site, Barrow, Alaska	USA: Barrow Environmental Observatory site, Barrow, Alaska	Cold
SRR8188253	Permafrost	Russia: Siberia	Russia: Kolyma-Indigirka Lowland, Siberia	Cold
SRR8188254	Permafrost	Russia: Siberia	Russia: Kolyma-Indigirka Lowland, Siberia	Cold
SRR8439019	Hydrothermal related	Pacific Ocean: Lau Basin	Pacific Ocean: Lau Basin	Pressure
SRR8439021	Hydrothermal related	Pacific Ocean: East Pacific Rise	Pacific Ocean: East Pacific Rise	Pressure
SRR8439022	Hydrothermal related	Pacific Ocean: Lau Basin	Pacific Ocean: Lau Basin	Pressure
SRR8439053	Hydrothermal related	Pacific Ocean: Lau Basin	Pacific Ocean: Lau Basin	Pressure
SRR8439171	Hydrothermal related	Pacific Ocean: East Pacific Rise	Pacific Ocean: East Pacific Rise	Pressure
SRR8439172	Hydrothermal related	Atlantic Ocean: Mid Atlantic Ridge	Atlantic Ocean: Mid Atlantic Ridge	Pressure
SRR8439430	Hydrothermal related	Pacific Ocean: East Pacific Rise	Pacific Ocean: East Pacific Rise	Pressure
SRR8450738	Saline lake	Spain: Penahueca Lagoon, Toledo	Spain: Penahueca Lagoon, Toledo	Saline-alkaline
SRR8451930	Hydrothermal related	Arctic Ocean: ridge	Arctic Ocean: Southern Knipovich Ridge	Pressure
SRR8452060	Hydrothermal related	Arctic Ocean: ridge	Arctic Ocean: Gakkel Ridge, Loki's castle	Pressure
SRR8452062	Hydrothermal related	Arctic Ocean: ridge	Arctic Ocean: Southern Knipovich Ridge	Pressure
SRR8496329	Permafrost	Canada	Canada: SAS2, Kuujjuarapik-Whapmagoostui	Acid
SRR8496331	Permafrost	Canada	Canada: SAS2, Kuujjuarapik-Whapmagoostui	Acid
SRR8496332	Permafrost	Canada	Canada: SAS2, Kuujjuarapik-Whapmagoostui	Acid
SRR8496338	Permafrost	Canada	Canada: SAS2, Kuujjuarapik-Whapmagoostui	Acid
SRR8496339	Permafrost	Canada	Canada: SAS2, Kuujjuarapik-Whapmagoostui	Acid
SRR8496340	Permafrost	Canada	Canada: SAS2, Kuujjuarapik-Whapmagoostui	Acid
SRR8496341	Permafrost	Canada	Canada: SAS2, Kuujjuarapik-Whapmagoostui	Acid
SRR8526178	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cross_habitat
SRR8526179	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8526180	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8526187	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Cross_habitat
SRR8526188	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Cross_habitat
SRR8526189	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Cross_habitat
SRR8542060	Hydrothermal related	Pacific Ocean: mid-ocean ridge	Pacific Ocean: Juan de Fuca Ridge, mid-ocean ridge	Pressure
SRR8861832	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8861833	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8861905	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8861906	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8861909	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8861994	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8861996	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8861999	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862004	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862018	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862060	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862061	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Cross_habitat
SRR8862062	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Cross_habitat
SRR8862063	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862064	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Cross_habitat
SRR8862065	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862068	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862069	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862070	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Cross_habitat
SRR8862071	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862075	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Cross_habitat
SRR8862086	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Cross_habitat
SRR8862087	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Cross_habitat
SRR8862088	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Cross_habitat
SRR8862089	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862090	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862126	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862127	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862128	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862129	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862130	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862131	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862132	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862133	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862134	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862135	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862141	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8862142	Antarctic saline lake	Antarctica: Organic Lake	Antarctica: Organic Lake	Saline-alkaline
SRR8863373	Hot spring	USA: Wyoming	USA: NA, Wyoming	Hot
SRR8863378	Hot spring	USA: Wyoming	USA: Mushroom Spring, Wyoming	Hot
SRR8863379	Hot spring	USA: Wyoming	USA: Mushroom Spring, Wyoming	Hot
SRR8863384	Hot spring	USA: Wyoming	USA: Octopus Spring, Wyoming	Hot
SRR8863385	Hot spring	USA: Wyoming	USA: Octopus Spring, Wyoming	Hot
SRR8863399	Hot spring	USA: Wyoming	USA: Mushroom Spring, Wyoming	Hot
SRR8863438	Hot spring	USA: Wyoming	USA: Mushroom Spring, Wyoming	Hot
SRR8863441	Hot spring	USA: Wyoming	USA: Mushroom Spring, Wyoming	Hot
SRR8863482	Hot spring	USA: Wyoming	USA: Mushroom Spring, Wyoming	Hot
SRR8863541	Hot spring	USA: Wyoming	USA: Mushroom Spring, Wyoming	Hot
SRR8863542	Hot spring	USA: Wyoming	USA: Mushroom Spring, Wyoming	Hot
SRR8863601	Hot spring	USA: Wyoming	USA: Octopus Spring, Wyoming	Hot
SRR8863765	Hot spring	USA: Wyoming	USA: Octopus Spring, Wyoming	Hot
SRR9001935	Hot spring	Spain: Lobios	USA: Octopus Spring, Wyoming	Hot
SRR9320187	Acid mine drainage	USA: Ely Copper Mine, Vershire, VT	USA: Ely Copper Mine, Vershire, VT	Acid
SRR9320188	Acid mine drainage	USA: Ely Copper Mine, Vershire, VT	USA: Ely Copper Mine, Vershire, VT	Acid
SRR9320191	Acid mine drainage	USA: Ely Copper Mine, Vershire, VT	USA: Ely Copper Mine, Vershire, VT	Acid
SRR9320192	Acid mine drainage	USA: Ely Copper Mine, Vershire, VT	USA: Ely Copper Mine, Vershire, VT	Acid
SRR9320193	Acid mine drainage	USA: Ely Copper Mine, Vershire, VT	USA: Ely Copper Mine, Vershire, VT	Acid
SRR9320194	Acid mine drainage	USA: Ely Copper Mine, Vershire, VT	USA: Ely Copper Mine, Vershire, VT	Acid
SRR9320195	Acid mine drainage	USA: Ely Copper Mine, Vershire, VT	USA: Ely Copper Mine, Vershire, VT	Acid
SRR9320196	Acid mine drainage	USA: Ely Copper Mine, Vershire, VT	USA: Ely Copper Mine, Vershire, VT	Acid
SRR9320197	Acid mine drainage	USA: Ely Copper Mine, Vershire, VT	USA: Ely Copper Mine, Vershire, VT	Acid
SRR9320198	Acid mine drainage	USA: Ely Copper Mine, Vershire, VT	USA: Ely Copper Mine, Vershire, VT	Acid
SRR9320199	Acid mine drainage	USA: Ely Copper Mine, Vershire, VT	USA: Ely Copper Mine, Vershire, VT	Acid
SRR9649876	Hot spring	USA: Wyoming	USA: Octopus Spring, Wyoming	Hot
SRR9649882	Hot spring	USA: Wyoming	USA: Octopus Spring, Wyoming	Hot
SRR9649883	Hot spring	USA: Wyoming	USA: Octopus Spring, Wyoming	Hot
SRR9649884	Hot spring	USA: Wyoming	USA: Octopus Spring, Wyoming	Hot
SRR9649885	Hot spring	USA: Wyoming	USA: Mushroom Spring, Wyoming	Hot
SRR9649886	Hot spring	USA: Wyoming	USA: Mushroom Spring, Wyoming	Hot
SRR9649887	Hot spring	USA: Wyoming	USA: Mushroom Spring, Wyoming	Hot
SRR9649888	Hot spring	USA: Wyoming	USA: Mushroom Spring, Wyoming	Hot
SRR9649889	Hot spring	USA: Wyoming	USA: Mushroom Spring, Wyoming	Hot
